model,historical,rcp26,rcp45,rcp60,rcp85
access1_0,O,X,O,X,O
access1_3,O,X,O,X,O
bcc_csm1_1,O,O,O,O,O
bcc_csm1_1_m,O,O,O,O,O
bnu_esm,O,O,O,X,O
canesm2,O,O,O,X,O
ccsm4,O,O,O,O,O
cesm1_bgc,O,X,O,X,O
cesm1_cam5,O,O,O,O,O
csiro_mk3_6_0,O,O,O,O,O
ec_earth,O,X,X,X,O
fgoals_g2,O,O,O,X,O
fio_esm,O,O,O,O,O
gfdl_cm3,O,O,O,O,O
gfdl_esm2g,O,O,O,O,O
gfdl_esm2m,O,O,O,O,O
giss_e2_h,O,O,X,O,O
giss_e2_h_cc,O,X,O,X,X
giss_e2_r,O,O,O,O,O
giss_e2_r_cc,O,X,O,X,X
hadgem2_ao,O,O,O,O,O
hadgem2_cc,O,X,O,X,O
hadgem2_es,O,O,O,O,O
inmcm4,O,X,O,X,O
ipsl_cm5a_lr,O,O,O,O,O
ipsl_cm5a_mr,O,O,O,X,O
ipsl_cm5b_lr,O,X,X,X,O
miroc_esm,O,O,O,O,O
miroc_esm_chem,O,O,O,O,O
miroc5,O,O,O,O,O
mpi_esm_lr,O,O,O,X,O
mpi_esm_mr,O,O,X,X,O
mri_cgcm3,O,O,O,O,O
noresm1_m,O,O,O,O,O
