model,dxOR,dyOR,ncolsOR,nrowsOR,dxNW,dyNW,cellsize,ncolsNW,nrowsNW,ncell,nskip
bccr_bcm2_0,2.8125,2.789326986,128,64,2.8125,2.8125,2.8125,128,64,8192,7
cccma_cgcm3_1_t47,3.75,3.708897641,96,48,3.75,3.75,3.75,96,48,4608,7
cccma_cgcm3_1_t63,2.8125,2.789326947,128,64,2.8125,2.8125,2.8125,128,64,8192,7
cnrm_cm3,2.8125,2.789326947,128,64,2.8125,2.8125,2.8125,128,64,8192,7
csiro_mk3_0,1.875,1.864677831,192,96,1.875,1.875,1.875,192,96,18432,7
csiro_mk3_5,1.875,1.864677831,192,96,1.875,1.875,1.875,192,96,18432,7
gfdl_cm2_0,2.5,2,144,90,2.5,2,2,180,90,16200,7
gfdl_cm2_1,1,1,144,90,2.5,2,2,180,90,16200,6
giss_aom,4,3,90,60,4,3,3,120,60,7200,7
giss_model_eh,1,1,72,46,5,3.913043478,3.913043478,92,46,4232,6
giss_model_er,1,1,72,46,5,3.913043478,3.913043478,92,46,4232,6
iap_fgoals1_0_g,1,1,128,60,2.8125,3,2.8125,128,64,8192,6
ingv_echam4,1.125,1.121276974,320,160,1.125,1.125,1.125,320,160,51200,7
inm_cm3_0,5,4,72,45,5,4,4,90,45,4050,7
ipsl_cm4,3.75,2.535211268,96,72,3.75,2.5,2.5,144,72,10368,7
miroc3_2_hires,1.125,1.121276974,320,160,1.125,1.125,1.125,320,160,51200,7
miroc3_2_medres,2.8125,2.789326947,128,64,2.8125,2.8125,2.8125,128,64,8192,7
miub_echo_g,3.75,3.708897692,96,48,3.75,3.75,3.75,96,48,4608,7
mpi_echam5,1.875,1.864673655,192,96,1.875,1.875,1.875,192,96,18432,7
mri_cgcm2_3_2a,2.8125,2.789326947,128,64,2.8125,2.8125,2.8125,128,64,8192,7
ncar_ccsm3_0,1.40625,1.400436777,256,128,1.40625,1.40625,1.40625,256,128,32768,7
ncar_pcm1,2.8125,2.789326947,128,64,2.8125,2.8125,2.8125,128,64,8192,7
ukmo_hadcm3,3.75,2.5,96,73,3.75,2.465753425,2.465753425,146,73,10658,7
ukmo_hadgem1,1.875,1.25,192,145,1.875,1.24137931,1.24137931,290,145,42050,7
