No_p,id,ht,lat,long
1,160102B,19.65,-18.66666667,-39.75
2,163921A,18.78,-24.14222222,-50.09472222
3,160211C2,17.01,3.858611111,-76.47916667
4,162617B,16.9,-24.40833333,-50.50833333
5,130206A,16.8,2.509166667,-76.62027778
6,130742B3,16.22,-26.481,30.782
7,030201A,15.52,2.515,-76.60694444
8,200215C,14.9,4.9,-75.57111111
9,070201B,14.12,2.312777778,-76.59055556
10,200701L,14.11,-30.05,29.91666667
11,130732C1,14.09,-31.23333333,28.63333333
12,200709B,13.94,-25.53333333,30.36666667
13,200710B,13.83,-25.53333333,30.36666667
14,200706E,13.73,-30.03333333,29.93333333
